iter	Passed	Remaining
0	169	168967
1	171	85426
2	173	57580
3	174	43554
4	176	35220
5	179	29677
6	181	25770
7	184	22854
8	186	20517
9	189	18746
10	192	17295
11	196	16173
12	198	15067
13	200	14107
14	203	13345
15	205	12650
16	208	12045
17	211	11520
18	214	11083
19	218	10687
20	220	10284
21	223	9950
22	227	9652
23	230	9364
24	234	9141
25	237	8910
26	241	8701
27	243	8457
28	247	8279
29	250	8104
30	254	7954
31	257	7793
32	259	7601
33	262	7459
34	266	7348
35	268	7193
36	271	7077
37	274	6940
38	276	6820
39	280	6728
40	283	6622
41	285	6504
42	287	6391
43	289	6291
44	291	6181
45	293	6076
46	294	5970
47	295	5868
48	297	5773
49	299	5682
50	300	5592
51	301	5503
52	303	5416
53	304	5333
54	305	5242
55	306	5159
56	307	5084
57	308	5012
58	309	4942
59	311	4878
60	312	4804
61	313	4737
62	313	4665
63	314	4605
64	316	4547
65	317	4495
66	318	4436
67	319	4380
68	320	4329
69	322	4284
70	323	4235
71	325	4192
72	326	4144
73	327	4101
74	329	4065
75	331	4027
76	332	3983
77	333	3940
78	334	3901
79	335	3858
80	336	3817
81	337	3781
82	338	3744
83	339	3706
84	341	3672
85	342	3636
86	343	3605
87	344	3573
88	345	3539
89	347	3512
90	348	3483
91	349	3454
92	351	3425
93	352	3400
94	353	3372
95	355	3342
96	355	3313
97	356	3284
98	357	3255
99	359	3236
100	360	3212
101	362	3187
102	363	3162
103	364	3136
104	365	3112
105	366	3091
106	368	3072
107	369	3052
108	370	3030
109	371	3008
110	373	2989
111	374	2970
112	376	2952
113	377	2933
114	378	2911
115	379	2889
116	380	2868
117	380	2847
118	381	2827
119	382	2807
120	383	2787
121	384	2768
122	385	2749
123	386	2731
124	387	2712
125	388	2694
126	389	2677
127	390	2661
128	391	2642
129	392	2625
130	393	2610
131	394	2594
132	395	2578
133	396	2563
134	397	2547
135	398	2531
136	399	2516
137	400	2500
138	401	2485
139	402	2472
140	403	2458
141	404	2444
142	405	2432
143	407	2421
144	408	2409
145	409	2397
146	411	2385
147	412	2373
148	412	2357
149	414	2346
150	415	2334
151	416	2322
152	417	2312
153	418	2301
154	420	2292
155	421	2281
156	422	2269
157	424	2259
158	425	2249
159	426	2239
160	427	2229
161	428	2218
162	430	2209
163	431	2199
164	432	2190
165	433	2178
166	435	2169
167	436	2163
168	437	2153
169	439	2143
170	440	2134
171	441	2125
172	442	2117
173	444	2108
174	445	2099
175	446	2091
176	448	2084
177	449	2075
178	450	2066
179	451	2058
180	453	2051
181	454	2044
182	456	2037
183	457	2029
184	459	2022
185	460	2013
186	461	2004
187	462	1995
188	463	1987
189	464	1978
190	465	1970
191	466	1964
192	467	1956
193	469	1949
194	470	1942
195	471	1934
196	472	1927
197	474	1921
198	475	1914
199	476	1906
200	478	1900
201	479	1894
202	481	1888
203	482	1883
204	484	1877
205	485	1873
206	487	1867
207	488	1860
208	489	1853
209	490	1845
210	491	1838
211	492	1832
212	494	1825
213	495	1818
214	496	1814
215	498	1809
216	499	1803
